Offset,Entropy
0x0,7.14
0x80,7.11
0x100,7.17
0x180,7.26
0x200,7.27
0x280,7.21
0x300,7.15
0x380,7.18
0x400,7.16
0x480,7.08
0x500,7.22
0x580,7.19
0x600,7.12
0x680,7.10
0x700,7.01
0x780,7.05
0x800,7.14
0x880,7.22
0x900,7.18
0x980,7.15
0xA00,7.13
0xA80,7.13
0xB00,7.18
0xB80,7.12
0xC00,7.09
0xC80,7.12
0xD00,7.16
0xD80,7.23
0xE00,7.22
0xE80,7.19
0xF00,7.17
0xF80,7.10
0x1000,7.03
0x1080,7.19
0x1100,6.27
0x1180,6.04
0x1200,6.83
0x1280,7.08
0x1300,6.98
0x1380,6.53
0x1400,6.42
0x1480,7.10
0x1500,7.15
0x1580,7.18
0x1600,7.13
0x1680,7.09
0x1700,7.20
0x1780,7.16
0x1800,7.10
0x1880,7.13
0x1900,7.11
0x1980,7.10
0x1A00,7.15
0x1A80,7.11
0x1B00,7.22
0x1B80,7.07
0x1C00,7.16
0x1C80,7.13
0x1D00,7.13
0x1D80,7.06
0x1E00,7.05
0x1E80,7.10
0x1F00,7.15
0x1F80,7.16
0x2000,7.12
0x2080,7.14
0x2100,7.13
0x2180,7.12
0x2200,7.16
0x2280,7.10
0x2300,6.95
0x2380,6.99
0x2400,7.16
0x2480,7.11
0x2500,7.07
0x2580,7.16
0x2600,7.14
0x2680,7.15
0x2700,7.15
0x2780,7.18
0x2800,7.13
0x2880,7.05
0x2900,7.06
0x2980,7.18
0x2A00,7.20
0x2A80,7.10
0x2B00,7.09
0x2B80,7.06
0x2C00,7.14
0x2C80,7.13
0x2D00,7.20
0x2D80,7.16
0x2E00,7.22
0x2E80,7.24
0x2F00,7.15
0x2F80,7.15
0x3000,7.08
0x3080,7.20
0x3100,7.14
0x3180,7.24
0x3200,7.16
0x3280,7.11
0x3300,7.12
0x3380,7.16
0x3400,7.15
0x3480,7.14
0x3500,7.18
0x3580,7.23
0x3600,7.18
0x3680,7.15
0x3700,7.22
0x3780,7.13
0x3800,7.11
0x3880,7.15
0x3900,7.10
0x3980,7.15
0x3A00,7.23
0x3A80,7.14
0x3B00,6.80
0x3B80,6.15
0x3C00,6.80
0x3C80,7.04
0x3D00,7.09
0x3D80,7.17
0x3E00,7.17
0x3E80,7.11
0x3F00,7.12
0x3F80,7.08
0x4000,7.13
0x4080,7.14
0x4100,7.10
0x4180,7.19
0x4200,7.24
0x4280,7.13
0x4300,7.14
0x4380,7.21
0x4400,7.21
0x4480,7.25
0x4500,7.19
0x4580,7.13
0x4600,7.11
0x4680,7.20
0x4700,7.14
0x4780,7.17
0x4800,6.96
0x4880,7.11
0x4900,7.12
0x4980,7.13
0x4A00,7.10
0x4A80,7.17
0x4B00,7.17
0x4B80,7.18
0x4C00,7.18
0x4C80,7.17
0x4D00,7.19
0x4D80,7.15
0x4E00,7.17
0x4E80,7.19
0x4F00,7.18
0x4F80,7.19
0x5000,7.12
0x5080,7.17
0x5100,7.19
0x5180,7.11
0x5200,7.12
0x5280,7.21
0x5300,7.10
0x5380,7.12
0x5400,7.26
0x5480,7.24
0x5500,7.14
0x5580,7.24
0x5600,7.13
